City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Antalaha,MG,75.54,light rain,-14.9003,50.2788,Hotel Vitasoa
8,Lingao,CN,76.96,clear sky,19.9103,109.6859,Lingao Ditai Inn
10,Puerto Ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Talara,PE,77.0,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
14,Caravelas,BR,78.21,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
17,Tessalit,ML,72.93,scattered clouds,20.1986,1.0114,
28,Araouane,ML,76.3,clear sky,18.9048,-3.5265,
39,Loa Janan,ID,76.19,moderate rain,-0.583,117.095,Pondok hijau 2A
41,Puerto Quijarro,BO,79.38,scattered clouds,-17.7833,-57.7667,Hotel palance
43,Souillac,MU,73.4,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,Lhokseumawe,ID,77.99,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
47,Rikitea,PF,78.82,clear sky,-23.1203,-134.9692,Pension Maro'i
49,Bontang,ID,76.19,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
56,Bubaque,GW,75.97,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
59,Bengkulu,ID,75.7,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
68,Puerto Plata,DO,77.0,few clouds,19.7934,-70.6884,Hotel Central
73,Itoman,JP,75.2,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
75,Mecca,SA,75.45,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
78,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
88,Sibolga,ID,75.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
93,Jaciara,BR,73.67,scattered clouds,-15.9653,-54.9683,Taba Hotel
95,Coruripe,BR,78.26,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
106,Port Macquarie,AU,72.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
107,Kapaa,US,75.2,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
120,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
136,Mahebourg,MU,73.4,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
138,Marsh Harbour,BS,76.64,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
140,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
143,Jati,PK,76.73,broken clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
146,Cockburn Town,TC,77.52,clear sky,21.4612,-71.1419,Osprey Beach Hotel
148,Namibe,AO,75.33,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
149,Santa Fe,AR,72.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
155,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
160,Sao Joao Da Barra,BR,77.41,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
165,Gushikawa,JP,73.4,overcast clouds,26.3544,127.8686,Kirari Guest House
167,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
168,Maceio,BR,77.0,scattered clouds,-9.6658,-35.7353,Poutur Pousada
172,Morro Bay,US,73.99,clear sky,35.3658,-120.8499,Inn at Morro Bay
174,Mohanur,IN,78.8,mist,11.0833,78.1667,சி.குட்டி
182,Axim,GH,78.87,clear sky,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
189,General Roca,AR,73.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
200,Carnarvon,AU,78.8,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
205,Sinnamary,GF,77.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Buritis,BR,74.84,few clouds,-15.6178,-46.4233,Hotel Rainha do Vale
209,Victoria,HK,78.01,few clouds,22.2855,114.1577,Mini Hotel Central
212,Pemangkat,ID,78.03,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
216,Zempoala,MX,73.99,broken clouds,19.45,-96.4167,Panteon cempuala
223,Poum,NC,79.92,light rain,-20.2333,164.0167,Gîte kajeon
227,Jaru,BR,73.6,broken clouds,-10.4389,-62.4664,Hotel Paraná
230,Kerouane,GN,77.0,scattered clouds,9.2667,-9.0167,
234,Hambantota,LK,76.03,overcast clouds,6.1241,81.1185,Bungalow 63
235,Manicore,BR,75.52,moderate rain,-5.8092,-61.3003,Hotel Durval
236,Wattegama,LK,73.67,overcast clouds,6.7989,81.4808,
243,Acarau,BR,77.86,broken clouds,-2.8856,-40.12,castelo pizzaria
249,Oum Hadjer,TD,72.23,clear sky,13.2954,19.6966,
253,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
259,Geraldton,AU,75.2,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
266,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
269,Byron Bay,AU,73.4,overcast clouds,-28.65,153.6167,Backpackers Inn on the Beach
271,Sao Jose Da Coroa Grande,BR,78.93,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
