City_ID,City,Lat,Lng,Max Temp,Humidity,Current Description,Cloudiness,Wind Speed,Country,Date
0,Antalaha,-14.9003,50.2788,75.54,92,light rain,80,2.86,MG,2021-03-30 00:20:49
1,Ushuaia,-54.8,-68.3,50.0,76,few clouds,20,5.75,AR,2021-03-30 00:11:30
2,Norfolk,42.1668,-71.2495,46.4,34,clear sky,1,6.91,US,2021-03-30 00:19:12
3,Nhulunbuy,-12.2333,136.7667,84.2,74,broken clouds,75,13.8,AU,2021-03-30 00:20:49
4,La Rioja,42.25,-2.5,57.2,44,clear sky,0,12.66,ES,2021-03-30 00:20:50
5,Bredasdorp,-34.5322,20.0403,51.8,93,scattered clouds,50,3.44,ZA,2021-03-30 00:14:44
6,Khatanga,71.9667,102.5,-25.44,96,scattered clouds,25,11.86,RU,2021-03-30 00:15:23
7,Atuona,-9.8,-139.0333,80.6,79,light rain,28,19.13,PF,2021-03-30 00:14:58
8,Lingao,19.9103,109.6859,76.96,73,clear sky,5,3.85,CN,2021-03-30 00:20:51
9,Avarua,-21.2078,-159.775,84.2,74,broken clouds,75,9.22,CK,2021-03-30 00:16:17
10,Puerto Ayora,-0.7393,-90.3518,79.0,92,scattered clouds,45,4.0,EC,2021-03-30 00:14:47
11,Castro,-24.7911,-50.0119,62.24,94,broken clouds,53,4.27,BR,2021-03-30 00:18:03
12,Georgetown,5.4112,100.3354,81.0,89,scattered clouds,40,3.44,MY,2021-03-30 00:14:08
13,Talara,-4.5772,-81.2719,77.0,61,broken clouds,75,11.5,PE,2021-03-30 00:19:50
14,Caravelas,-17.7125,-39.2481,78.21,73,clear sky,0,7.94,BR,2021-03-30 00:17:53
15,Matveyevka,52.15,56.1833,23.0,74,clear sky,0,2.24,RU,2021-03-30 00:20:52
16,Jamestown,42.097,-79.2353,39.0,64,clear sky,1,2.86,US,2021-03-30 00:11:50
17,Tessalit,20.1986,1.0114,72.93,9,scattered clouds,31,12.06,ML,2021-03-30 00:20:50
18,Mataura,-46.1927,168.8643,60.01,88,overcast clouds,98,1.01,NZ,2021-03-30 00:14:34
19,Port Elizabeth,-33.918,25.5701,66.2,88,few clouds,20,12.66,ZA,2021-03-30 00:14:39
20,Lebu,-37.6167,-73.65,55.8,92,few clouds,11,1.32,CL,2021-03-30 00:15:12
21,Cangzhou,38.3167,116.8667,54.68,48,clear sky,3,3.4,CN,2021-03-30 00:20:53
22,Bluff,-46.6,168.3333,62.01,87,overcast clouds,100,1.01,NZ,2021-03-30 00:14:56
23,Qaanaaq,77.484,-69.3632,-14.94,62,scattered clouds,48,7.87,GL,2021-03-30 00:14:46
24,Ilulissat,69.2167,-51.1,15.8,53,light snow,40,19.57,GL,2021-03-30 00:20:54
25,Celestun,20.8667,-90.4,81.23,68,few clouds,22,17.02,MX,2021-03-30 00:20:54
26,Yulara,-25.2406,130.9889,69.8,43,clear sky,0,14.97,AU,2021-03-30 00:15:16
27,Santana Do Livramento,-30.8908,-55.5328,64.29,76,broken clouds,82,5.41,BR,2021-03-30 00:20:55
28,Araouane,18.9048,-3.5265,76.3,9,clear sky,7,9.82,ML,2021-03-30 00:20:55
29,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,snow,20,17.27,CA,2021-03-30 00:18:02
30,Erzin,36.9559,36.2,50.0,73,clear sky,0,10.0,TR,2021-03-30 00:20:56
31,Mar Del Plata,-38.0023,-57.5575,63.0,82,scattered clouds,40,4.61,AR,2021-03-30 00:16:47
32,Longyearbyen,78.2186,15.6401,24.8,74,scattered clouds,40,25.32,SJ,2021-03-30 00:15:09
33,La Paz,-16.5,-68.15,42.8,93,fog,75,5.75,BO,2021-03-30 00:16:27
34,Cidreira,-30.1811,-50.2056,70.11,66,clear sky,9,7.36,BR,2021-03-30 00:15:35
35,Kostyantynivka,48.5277,37.7069,34.09,82,clear sky,8,8.01,UA,2021-03-30 00:20:57
36,Husavik,66.0449,-17.3389,21.2,86,overcast clouds,90,3.44,IS,2021-03-30 00:20:57
37,Necochea,-38.5473,-58.7368,57.99,95,few clouds,17,6.58,AR,2021-03-30 00:20:57
38,Yellowknife,62.456,-114.3525,6.8,43,clear sky,1,8.05,CA,2021-03-30 00:13:02
39,Loa Janan,-0.583,117.095,76.19,96,moderate rain,97,2.71,ID,2021-03-30 00:20:58
40,Hami,42.8,93.45,51.06,36,overcast clouds,100,12.71,CN,2021-03-30 00:19:39
41,Puerto Quijarro,-17.7833,-57.7667,79.38,63,scattered clouds,32,4.12,BO,2021-03-30 00:20:59
42,Tricase,39.9304,18.3553,53.01,100,mist,75,5.75,IT,2021-03-30 00:20:59
43,Souillac,-20.5167,57.5167,73.4,94,few clouds,20,8.05,MU,2021-03-30 00:15:09
44,Lhokseumawe,5.1801,97.1507,77.99,82,overcast clouds,100,4.7,ID,2021-03-30 00:20:59
45,Lorengau,-2.0226,147.2712,83.66,74,overcast clouds,100,5.35,PG,2021-03-30 00:14:31
46,Evensk,61.95,159.2333,7.86,68,few clouds,18,2.21,RU,2021-03-30 00:17:33
47,Rikitea,-23.1203,-134.9692,78.82,70,clear sky,8,15.32,PF,2021-03-30 00:14:38
48,Ponta Do Sol,32.6667,-17.1,62.6,67,few clouds,20,14.97,PT,2021-03-30 00:17:48
49,Bontang,0.1333,117.5,76.19,90,overcast clouds,100,4.74,ID,2021-03-30 00:21:00
50,Hobart,-42.8794,147.3294,63.0,58,clear sky,0,12.66,AU,2021-03-30 00:14:33
51,Punta Arenas,-53.15,-70.9167,46.4,93,broken clouds,75,4.61,CL,2021-03-30 00:14:12
52,Girne,35.3417,33.3167,46.4,76,clear sky,0,9.22,CY,2021-03-30 00:19:10
53,New Norfolk,-42.7826,147.0587,64.0,62,overcast clouds,100,3.98,AU,2021-03-30 00:15:01
54,Zhanakorgan,43.9098,67.2495,38.53,72,overcast clouds,92,5.5,KZ,2021-03-30 00:21:01
55,Tilichiki,60.4667,166.1,8.22,77,few clouds,14,4.99,RU,2021-03-30 00:21:01
56,Bubaque,11.2833,-15.8333,75.97,70,clear sky,8,12.93,GW,2021-03-30 00:21:02
57,Gravdal,68.1214,13.5031,39.65,93,overcast clouds,100,17.13,NO,2021-03-30 00:18:47
58,Valparaiso,-33.0393,-71.6273,55.4,88,few clouds,20,2.3,CL,2021-03-30 00:21:02
59,Bengkulu,-3.8004,102.2655,75.7,89,broken clouds,72,3.62,ID,2021-03-30 00:16:46
60,Santa Luzia,-19.7697,-43.8514,71.6,83,broken clouds,75,6.91,BR,2021-03-30 00:18:23
61,Torbay,47.6666,-52.7314,39.99,100,light rain,90,24.16,CA,2021-03-30 00:16:12
62,Goma,-1.6792,29.2228,61.93,87,overcast clouds,99,3.2,CD,2021-03-30 00:21:03
63,Fare,-16.7,-151.0167,81.99,73,scattered clouds,35,13.98,PF,2021-03-30 00:21:03
64,Aviles,43.5547,-5.9248,60.01,72,overcast clouds,85,3.44,ES,2021-03-30 00:21:04
65,Barra Dos Coqueiros,-10.9089,-37.0386,80.6,83,broken clouds,75,8.05,BR,2021-03-30 00:18:34
66,Maniitsoq,65.4167,-52.9,22.8,53,overcast clouds,100,16.33,GL,2021-03-30 00:21:04
67,Idlib,35.9306,36.6339,42.8,100,clear sky,0,1.14,SY,2021-03-30 00:21:05
68,Puerto Plata,19.7934,-70.6884,77.0,88,few clouds,20,11.5,DO,2021-03-30 00:19:12
69,Tasiilaq,65.6145,-37.6368,17.6,49,clear sky,0,2.3,GL,2021-03-30 00:14:48
70,Busselton,-33.65,115.3333,68.0,95,few clouds,12,1.01,AU,2021-03-30 00:14:54
71,Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.0,59,light snow,75,6.71,RU,2021-03-30 00:21:05
72,Coihaique,-45.5752,-72.0662,60.8,77,clear sky,0,4.41,CL,2021-03-30 00:19:02
73,Itoman,26.1247,127.6694,75.2,88,broken clouds,75,6.91,JP,2021-03-30 00:21:06
74,Hermanus,-34.4187,19.2345,64.0,64,scattered clouds,27,4.92,ZA,2021-03-30 00:14:59
75,Mecca,21.4267,39.8261,75.45,51,clear sky,3,3.89,SA,2021-03-30 00:21:07
76,Mount Isa,-20.7333,139.5,86.0,35,scattered clouds,40,17.27,AU,2021-03-30 00:21:07
77,Alofi,-19.0595,-169.9187,86.0,74,few clouds,11,11.5,NU,2021-03-30 00:15:17
78,Vaini,-21.2,-175.2,78.8,89,light rain,75,9.22,TO,2021-03-30 00:15:42
79,Sabang,5.8933,95.3214,81.27,77,light rain,100,15.35,ID,2021-03-30 00:17:07
80,Mogadishu,2.0371,45.3438,80.46,84,few clouds,14,12.06,SO,2021-03-30 00:18:21
81,Kavieng,-2.5744,150.7967,85.39,67,overcast clouds,100,12.1,PG,2021-03-30 00:15:13
82,Makrisia,37.6167,21.6,53.6,87,broken clouds,75,3.6,GR,2021-03-30 00:21:08
83,Erenhot,43.6475,111.9767,44.01,30,overcast clouds,100,14.43,CN,2021-03-30 00:16:03
84,Rocha,-34.4833,-54.3333,65.73,88,broken clouds,65,11.18,UY,2021-03-30 00:19:09
85,Dudinka,69.4058,86.1778,-16.28,93,few clouds,20,15.86,RU,2021-03-30 00:21:09
86,Lata,40.1629,-8.3327,57.99,84,scattered clouds,30,4.34,PT,2021-03-30 00:18:16
87,Upernavik,72.7868,-56.1549,-6.41,73,overcast clouds,97,7.02,GL,2021-03-30 00:14:36
88,Sibolga,1.7427,98.7792,75.33,94,overcast clouds,100,3.69,ID,2021-03-30 00:17:10
89,Constantine,36.365,6.6147,53.6,76,clear sky,0,6.91,DZ,2021-03-30 00:21:10
